Index	Name	Type	X	Y	Width	Height	Color	Fill	LWidth	Pos	C	Z	T
87	0088-0295-0379	Point	379	295	1	1	none	none	0	88	0	88	0
88	0089-0296-0379	Point	379	296	1	1	none	none	0	89	0	89	0
89	0090-0295-0378	Point	378	295	0	0	none	none	0	90	0	90	0
90	0091-0295-0379	Point	379	295	0	0	none	none	0	91	0	91	0
91	0092-0295-0381	Point	381	295	1	1	none	none	0	92	0	92	0
92	0093-0295-0382	Point	382	295	1	1	none	none	0	93	0	93	0
93	0094-0294-0382	Point	382	294	1	1	none	none	0	94	0	94	0
94	0095-0294-0383	Point	383	294	1	1	none	none	0	95	0	95	0
95	0096-0294-0385	Point	385	294	1	1	none	none	0	96	0	96	0
96	0097-0294-0384	Point	384	294	1	1	none	none	0	97	0	97	0
97	0098-0293-0386	Point	386	293	1	1	none	none	0	98	0	98	0
98	0099-0294-0386	Point	386	294	0	0	none	none	0	99	0	99	0
99	0100-0296-0388	Point	388	296	0	0	none	none	0	100	0	100	0
